audio_path,text
bengali_audio_files/audio_00000.wav,আসামে জাতীয় নাগরিক পঞ্জীর চূড়ান্ত খসড়া আগামী ত্রিশ জুলাই প্রকাশ করা হবে বলে সুপ্রীম কোর্ট রায় দিয়েছে
bengali_audio_files/audio_00001.wav,গতকাল বিচারপতি রঞ্জন গগৈ ও রােহিন্টন ফলি নরিম্যানকে নিয়ে গঠিত সুপ্রীম কোর্টের ডিভিশন বেঞ্চ এই নির্দেশ জারী করে
bengali_audio_files/audio_00002.wav,রাজ্যে নাগরিক পঞ্জীর চূড়ান্ত খসড়া গত ৩০শে জুন প্রকাশ করার কথা থাকলেও সাম্প্রতিক বন্যার পরিপ্রক্ষিতে জাতীয় নাগরিক পঞ্জীর রাজ্য সমন্বয়ক প্রতীক হাজেলা সুপ্রীম কোর্টের কাছে আরাে কিছু সময় চেয়েছিলেন
bengali_audio_files/audio_00003.wav,এন আর সির রাজ্য সমন্বয়ক প্রতীক হাজেলার পেশ করা প্রতিবেদনের ভিত্তিতেই সুপ্রীমকোর্ট এই রায় দিয়েছে
bengali_audio_files/audio_00004.wav,উল্লেখ্য শ্রী হাজেলা রাজ্যের সাম্প্রতিক বন্যা পরিস্থিতির পরিপ্রেক্ষিতে ৩০শে জুনের নির্ধারিত সময়সীমার মধ্যে চূড়ান্ত ভােটার তালিকা প্রকাশ করা সম্ভব নয় বলে গত সপ্তাহে জানিয়েছিলেন
bengali_audio_files/audio_00005.wav,উল্লেখ্য উচ্চতম ন্যায়ালয়ের নির্দেশে গত বছরের ৩১শে ডিসেম্বর জাতীয় নাগরিক পঞ্জীর প্রথম খসড়া তালিকা প্রকাশ করা হয়েছিল
bengali_audio_files/audio_00006.wav,এই প্রথম তালিকাটিতে রাজ্যের তিন কোটি ঊনত্রিশ লক্ষ বসবাসকারীদের মধ্যে এক কোটি নব্বই লক্ষ লােকের নাম অন্তর্ভুক্ত করা হয়েছিল
bengali_audio_files/audio_00007.wav,বাকী লােকেদের নথিপত্র পরীক্ষা করে আগামী ৩১শে জুলাই পূর্ণাঙ্গ খসড়া তালিকা প্রকাশ করা হবে
bengali_audio_files/audio_00008.wav,এদিকে জাতীয় নাগরিক পঞ্জীর চূড়ান্ত খসড়া প্রকাশের পর যাতে দক্ষিণ আসামের চার জেলায় কোন ধরণের অপ্রীতিকর পরিস্থিতির সৃষ্টি না হয় তা সঞ্চালক পৰ্যালােচনা প্রধান করতে কুলধর রাজ্যের শইকিয়া মুখ্য সচিব গতকাল টি ওয়াই দাস শিলচরে ও আসাম প্রশাসনের পুলিশের শীর্ষ আধিকারীকদের সঙ্গে উচ্চপর্যায়ের নিরাপত্তা সংক্রান্ত বৈঠকে অংশগ্রহণ করেন
bengali_audio_files/audio_00009.wav,শিলচরে জেলা উপায়ুক্তের সভাকক্ষে আয়ােজিত এই বৈঠকে কাছাড় করিমগঞ্জ হাইলাকান্দ ও ডিমাহাসাও জেলার উপায়ুক্ত ও পুলিশ সুপাররা সময় অংশগ্রহণ পুলিশ করেন প্রধান
